random-seed,100
10782,[81 82 281],281
11440,[51 52 67 280],280
7710,[56 279],279
5292,[69 68 67 280],280
4860,[106 284],284
6197,[105 106 284],284
3715,[90 282],282
11179,[32 207 278],278
8979,[49 15 45 279],279
6159,[105 106 284],284
5823,[57 56 279],279
6537,[123 286],286
12701,[65 16 66 280],280
12703,[54 55 56 279],279
12358,[65 16 66 280],280
10754,[81 82 281],281
9624,[92 93 282],282
10712,[81 82 281],281
10163,[1 51 52 67 280],280
6203,[105 106 284],284
7281,[9 45 279],279
4190,[207 278],278
363,[191 175 141 287],287
12247,[50 61 62 66 280],280
9144,[49 15 45 279],279
10513,[17 90 282],282
6732,[176 126 288],288
10729,[81 82 281],281
10423,[17 90 282],282
10716,[81 82 281],281
12480,[65 16 66 280],280
6201,[105 106 284],284
10862,[81 82 281],281
13251,[47 39 40 9 45 279],279
4504,[211 19 285],285
10609,[17 90 282],282
5263,[287],287
4889,[193 192 175 141 287],287
5030,[],280
2981,[21 90 282],282
8904,[206 88 32 207 278],278
3896,[67 280],280
8989,[49 15 45 279],279
1758,[34 33 207 278],278
7429,[213 151 168 294],294
7027,[285],285
699,[],287
394,[164 293],293
1698,[198 4 286],286
12049,[50 61 62 66 280],280
3459,[139 126 288],288
9882,[1 51 52 67 280],280
11789,[51 52 67 280],280
5597,[141 287],287
2006,[],279
10499,[17 90 282],282
10472,[17 90 282],282
11689,[51 52 67 280],280
714,[65 16 66 280],280
4400,[16 66 280],280
8275,[281],281
1741,[34 33 207 278],278
7670,[56 279],279
6371,[160 292],292
3200,[175 141 287],287
6504,[119 285],285
6183,[105 106 284],284
1709,[198 4 286],286
4540,[39 40 9 45 279],279
5765,[121 19 285],285
7778,[172 138 143 5 287],287
3243,[61 62 66 280],280
13071,[54 55 56 279],279
10706,[81 82 281],281
867,[32 207 278],278
10630,[17 90 282],282
2807,[279],279
13213,[47 39 40 9 45 279],279
7151,[6 146 292],292
7458,[211 19 285],285
10806,[81 82 281],281
10955,[81 82 281],281
2982,[21 90 282],282
8805,[206 88 32 207 278],278
10657,[17 90 282],282
13272,[47 39 40 9 45 279],279
6693,[37 34 33 207 278],278
6038,[66 280],280
990,[112 105 106 284],284
4637,[156 155 290],290
7135,[144 203 204 136 152 290],290
1737,[34 33 207 278],278
2307,[62 66 280],280
1970,[206 88 32 207 278],278
10281,[17 90 282],282
8385,[93 282],282
2144,[90 282],282
1856,[9 45 279],279
6086,[66 280],280
12609,[65 16 66 280],280
11886,[50 61 62 66 280],280
2825,[283],283
12420,[65 16 66 280],280
4983,[92 93 282],282
9377,[88 32 207 278],278
10834,[81 82 281],281
7266,[9 45 279],279
740,[65 16 66 280],280
10546,[17 90 282],282
2763,[279],279
11541,[51 52 67 280],280
8469,[],277
9971,[1 51 52 67 280],280
3742,[287],287
1090,[293],293
7631,[62 66 280],280
8885,[206 88 32 207 278],278
2361,[118 119 285],285
3460,[139 126 288],288
4081,[159 160 292],292
9904,[1 51 52 67 280],280
473,[167 168 294],294
12383,[65 16 66 280],280
5132,[40 9 45 279],279
5216,[190 167 168 294],294
4111,[54 55 56 279],279
6887,[19 285],285
10117,[1 51 52 67 280],280
2541,[9 45 279],279
2244,[62 66 280],280
464,[146 292],292
12291,[65 16 66 280],280
8489,[59 63 62 66 280],280
12856,[54 55 56 279],279
6889,[19 285],285
2149,[90 282],282
6036,[66 280],280
6282,[144 203 204 136 152 290 155 291],291
11573,[51 52 67 280],280
4113,[54 55 56 279],279
4213,[207 278],278
2261,[62 66 280],280
546,[282],282
4306,[207 278],278
11215,[32 207 278],278
11339,[32 207 278],278
5941,[281],281
5595,[141 287],287
11994,[50 61 62 66 280],280
7223,[176 126 288],288
8347,[93 282],282
8689,[17 90 282],282
1913,[19 285],285
10041,[1 51 52 67 280],280
5296,[69 68 67 280],280
371,[191 175 141 287],287
11188,[32 207 278],278
5023,[],280
12883,[54 55 56 279],279
12200,[50 61 62 66 280],280
13287,[47 39 40 9 45 279],279
2129,[90 282],282
2702,[25 26 276],276
8395,[93 282],282
3091,[66 280],280
12723,[54 55 56 279],279
3394,[45 279],279
3058,[66 280],280
10672,[17 90 282],282
13165,[47 39 40 9 45 279],279
954,[10 67 280],280
12816,[54 55 56 279],279
1664,[284],284
8409,[138 143 5 287],287
12240,[50 61 62 66 280],280
10953,[81 82 281],281
8656,[19 285],285
7381,[9 45 279],279
4382,[16 66 280],280
4043,[83 82 281],281
9995,[1 51 52 67 280],280
11468,[51 52 67 280],280
10317,[17 90 282],282
9605,[92 93 282],282
5725,[33 207 278],278
9503,[88 32 207 278],278
4492,[211 19 285],285
9685,[92 93 282],282
6048,[66 280],280
10820,[81 82 281],281
10384,[17 90 282],282
3150,[],278
8531,[286],286
6601,[37 34 33 207 278],278
12837,[54 55 56 279],279
10849,[81 82 281],281
11750,[51 52 67 280],280
7903,[26 276],276
490,[133 289],289
2332,[133 289],289
301,[165 147 293],293
6711,[176 126 288],288
10767,[81 82 281],281
544,[282],282
8669,[200 199 139 126 288],288
1007,[68 67 280],280
2348,[180 24 29 277],277
425,[146 292],292
12562,[65 16 66 280],280
6772,[101 283],283
9392,[88 32 207 278],278
5877,[147 293],293
8053,[8 9 45 279],279
9201,[48 49 15 45 279],279
6816,[50 61 62 66 280],280
1017,[68 67 280],280
1944,[206 88 32 207 278],278
5903,[177 176 126 288],288
11522,[51 52 67 280],280
1738,[34 33 207 278],278
10905,[81 82 281],281
10190,[1 51 52 67 280],280
5214,[190 167 168 294],294
5855,[57 56 279],279
9630,[92 93 282],282
10627,[17 90 282],282
9829,[1 51 52 67 280],280
311,[165 147 293],293
8004,[8 9 45 279],279
7431,[213 151 168 294],294
1812,[9 45 279],279
9019,[49 15 45 279],279
8032,[8 9 45 279],279
9278,[48 49 15 45 279],279
5792,[192 175 141 287],287
1193,[],285
12259,[65 16 66 280],280
7875,[205 162 164 293],293
6794,[147 293],293
10456,[17 90 282],282
6446,[11 211 19 285],285
1521,[],281
8279,[281],281
3785,[],283
12457,[65 16 66 280],280
11650,[51 52 67 280],280
9306,[48 49 15 45 279],279
9976,[1 51 52 67 280],280
2838,[283],283
2649,[124 177 176 126 288],288
2370,[118 119 285],285
7457,[211 19 285],285
4511,[211 19 285],285
11657,[51 52 67 280],280
12177,[50 61 62 66 280],280
6276,[],288
5242,[287],287
3879,[67 280],280
6295,[141 287],287
12613,[65 16 66 280],280
10608,[17 90 282],282
9892,[1 51 52 67 280],280
8138,[207 278],278
1505,[292],292
7129,[20 66 280],280
10180,[1 51 52 67 280],280
6858,[19 285],285
10938,[81 82 281],281
2076,[],279
7905,[26 276],276
10593,[17 90 282],282
9484,[88 32 207 278],278
883,[32 207 278],278
7744,[140 141 287],287
415,[164 293],293
8443,[],277
12023,[50 61 62 66 280],280
3328,[45 279],279
2884,[15 45 279],279
922,[10 67 280],280
9943,[1 51 52 67 280],280
11681,[51 52 67 280],280
611,[56 279],279
589,[56 279],279
3250,[61 62 66 280],280
1519,[],294
9351,[48 49 15 45 279],279
1192,[],285
5282,[69 68 67 280],280
847,[32 207 278],278
12531,[65 16 66 280],280
11829,[50 61 62 66 280],280
6955,[86 85 281],281
2828,[283],283
13341,[47 39 40 9 45 279],279
4821,[31 276],276
3573,[48 49 15 45 279],279
401,[164 293],293
5628,[33 207 278],278
6855,[19 285],285
378,[191 175 141 287],287
757,[49 15 45 279],279
2395,[118 119 285],285
11755,[51 52 67 280],280
2776,[279],279
10857,[81 82 281],281
9057,[49 15 45 279],279
11256,[32 207 278],278
7140,[6 146 292],292
11184,[32 207 278],278
9903,[1 51 52 67 280],280
2545,[126 288],288
6477,[119 285],285
1442,[162 164 293],293
13163,[47 39 40 9 45 279],279
12570,[65 16 66 280],280
12715,[54 55 56 279],279
11331,[32 207 278],278
7722,[56 279],279
558,[56 279],279
6432,[45 279],279
1959,[206 88 32 207 278],278
5465,[279],279
4361,[63 62 66 280],280
12721,[54 55 56 279],279
3092,[66 280],280
8778,[206 88 32 207 278],278
9114,[49 15 45 279],279
8492,[115 197 113 112 105 106 284],284
7642,[62 66 280],280
1344,[67 280],280
6998,[285],285
4222,[207 278],278
11306,[32 207 278],278
1383,[156 155 290],290
10029,[1 51 52 67 280],280
6862,[19 285],285
8075,[8 9 45 279],279
403,[164 293],293
10874,[81 82 281],281
2304,[62 66 280],280
1829,[9 45 279],279
685,[292],292
9488,[88 32 207 278],278
2652,[124 177 176 126 288],288
4100,[54 55 56 279],279
4547,[39 40 9 45 279],279
3369,[45 279],279
9660,[92 93 282],282
3945,[277],277
8601,[280],280
6486,[119 285],285
1113,[143 5 287],287
5892,[195 291],291
6221,[135 136 289],289
9735,[92 93 282],282
4751,[278],278
4862,[106 284],284
12269,[65 16 66 280],280
9500,[88 32 207 278],278
5531,[199 139 126 288],288
3477,[139 126 288],288
12043,[50 61 62 66 280],280
7138,[144 203 204 136 152 290],290
3957,[277],277
5848,[57 56 279],279
7312,[9 45 279],279
7182,[222 221 220 219 26 276],276
10715,[81 82 281],281
3153,[],278
10469,[17 90 282],282
7079,[100 101 283],283
1943,[206 88 32 207 278],278
1101,[293],293
3634,[66 280],280
9662,[92 93 282],282
13225,[47 39 40 9 45 279],279
3364,[45 279],279
11263,[32 207 278],278
9883,[1 51 52 67 280],280
7878,[205 162 164 293],293
4818,[31 276],276
3068,[66 280],280
7638,[62 66 280],280
8308,[105 106 284],284
7946,[8 9 45 279],279
6928,[280],280
11679,[51 52 67 280],280
4518,[211 19 285],285
9866,[1 51 52 67 280],280
4851,[192 175 141 287],287
1668,[82 281],281
11877,[50 61 62 66 280],280
10134,[1 51 52 67 280],280
6102,[66 280],280
3644,[66 280],280
9785,[92 93 282],282
12238,[50 61 62 66 280],280
6570,[151 168 294],294
8677,[200 199 139 126 288],288
11181,[32 207 278],278
11072,[81 82 281],281
6818,[50 61 62 66 280],280
12642,[65 16 66 280],280
10165,[1 51 52 67 280],280
5915,[177 176 126 288],288
4610,[106 284],284
7962,[8 9 45 279],279
5396,[96 101 283],283
10671,[17 90 282],282
2096,[],279
3405,[45 279],279
642,[28 29 278],278
6638,[37 34 33 207 278],278
4391,[16 66 280],280
8671,[200 199 139 126 288],288
12175,[50 61 62 66 280],280
2623,[128 134 133 289],289
4316,[207 278],278
7545,[92 93 282],282
13028,[54 55 56 279],279
8231,[285],285
10969,[81 82 281],281
7560,[62 66 280],280
9763,[92 93 282],282
12465,[65 16 66 280],280
12620,[65 16 66 280],280
9707,[92 93 282],282
13143,[54 55 56 279],279
2584,[55 56 279],279
9845,[1 51 52 67 280],280
9592,[88 32 207 278],278
10093,[1 51 52 67 280],280
1756,[34 33 207 278],278
8171,[189 144 203 204 136 152 290 155 291],291
2072,[],279
1640,[138 143 5 287],287
13039,[54 55 56 279],279
2628,[128 134 133 289],289
680,[292],292
11605,[51 52 67 280],280
13227,[47 39 40 9 45 279],279
9005,[49 15 45 279],279
3687,[67 280],280
11511,[51 52 67 280],280
10187,[1 51 52 67 280],280
10915,[81 82 281],281
13322,[47 39 40 9 45 279],279
2430,[85 281],281
6176,[105 106 284],284
3546,[85 281],281
12433,[65 16 66 280],280
9060,[49 15 45 279],279
7655,[23 11 211 19 285],285
10528,[17 90 282],282
1475,[292],292
7970,[8 9 45 279],279
2471,[],284
5908,[177 176 126 288],288
9127,[49 15 45 279],279
9843,[1 51 52 67 280],280
7685,[56 279],279
8272,[281],281
4333,[63 62 66 280],280
3096,[66 280],280
11045,[81 82 281],281
12068,[50 61 62 66 280],280
5384,[45 279],279
12129,[50 61 62 66 280],280
2566,[126 288],288
5581,[141 287],287
629,[56 279],279
2740,[279],279
2877,[15 45 279],279
1253,[82 281],281
11895,[50 61 62 66 280],280
8199,[155 290],290
8512,[141 287],287
3425,[218 159 158 208 194 195 291],291
5842,[57 56 279],279
11840,[50 61 62 66 280],280
6067,[66 280],280
4832,[31 276],276
1819,[9 45 279],279
4020,[],276
5691,[33 207 278],278
8509,[141 287],287
11982,[50 61 62 66 280],280
1364,[67 280],280
6766,[101 283],283
10227,[1 51 52 67 280],280
4340,[63 62 66 280],280
6830,[50 61 62 66 280],280
2434,[85 281],281
11575,[51 52 67 280],280
815,[139 126 288],288
5021,[],280
9304,[48 49 15 45 279],279
3259,[61 62 66 280],280
10503,[17 90 282],282
10875,[81 82 281],281
12404,[65 16 66 280],280
7892,[205 162 164 293],293
2987,[21 90 282],282
12292,[65 16 66 280],280
10823,[81 82 281],281
8396,[93 282],282
1343,[67 280],280
795,[139 126 288],288
1184,[],285
10675,[17 90 282],282
11154,[32 207 278],278
2997,[126 288],288
3043,[126 288],288
8306,[105 106 284],284
8532,[286],286
5103,[52 67 280],280
2188,[],292
4187,[207 278],278
5310,[45 279],279
11486,[51 52 67 280],280
2914,[120 113 112 105 106 284],284
4056,[83 82 281],281
4748,[278],278
749,[65 16 66 280],280
1187,[],285
6474,[119 285],285
11850,[50 61 62 66 280],280
3702,[90 282],282
10985,[81 82 281],281
6939,[280],280
4486,[211 19 285],285
410,[164 293],293
8987,[49 15 45 279],279
10035,[1 51 52 67 280],280
9209,[48 49 15 45 279],279
3373,[45 279],279
9270,[48 49 15 45 279],279
2880,[15 45 279],279
7749,[140 141 287],287
2175,[26 276],276
13164,[47 39 40 9 45 279],279
4041,[83 82 281],281
8830,[206 88 32 207 278],278
9394,[88 32 207 278],278
12422,[65 16 66 280],280
1537,[],281
12273,[65 16 66 280],280
803,[139 126 288],288
2225,[276],276
10283,[17 90 282],282
12616,[65 16 66 280],280
11207,[32 207 278],278
12929,[54 55 56 279],279
838,[189 144 203 204 136 152 290 155 291],291
6868,[19 285],285
5663,[33 207 278],278
3217,[175 141 287],287
6898,[280],280
688,[292],292
2659,[124 177 176 126 288],288
7107,[100 101 283],283
7122,[20 66 280],280
7577,[62 66 280],280
7054,[111 118 119 285],285
10126,[1 51 52 67 280],280
9373,[88 32 207 278],278
3951,[277],277
6087,[66 280],280
5155,[40 9 45 279],279
2712,[25 26 276],276
11531,[51 52 67 280],280
669,[292],292
785,[49 15 45 279],279
12605,[65 16 66 280],280
10724,[81 82 281],281
11151,[32 207 278],278
9516,[88 32 207 278],278
2636,[128 134 133 289],289
8205,[],289
6275,[],288
4414,[16 66 280],280
7799,[93 282],282
598,[56 279],279
11244,[32 207 278],278
8056,[8 9 45 279],279
3755,[204 136 152 290],290
8187,[187 188 189 144 203 204 136 152 290 155 291],291
12953,[54 55 56 279],279
7413,[94 92 93 282],282
7688,[56 279],279
5745,[121 19 285],285
5573,[286],286
12808,[54 55 56 279],279
5419,[195 291],291
10984,[81 82 281],281
12885,[54 55 56 279],279
3936,[277],277
8439,[],277
7764,[140 141 287],287
2504,[9 45 279],279
1934,[206 88 32 207 278],278
4002,[170 198 4 286],286
7270,[9 45 279],279
6990,[285],285
4125,[271 153 152 290],290
4098,[54 55 56 279],279
1112,[143 5 287],287
7311,[9 45 279],279
11726,[51 52 67 280],280
6556,[151 168 294],294
7473,[],291
654,[292],292
12761,[54 55 56 279],279
726,[65 16 66 280],280
7446,[211 19 285],285
647,[292],292
3287,[45 279],279
8924,[206 88 32 207 278],278
8907,[206 88 32 207 278],278
11899,[50 61 62 66 280],280
10192,[1 51 52 67 280],280
9867,[1 51 52 67 280],280
388,[164 293],293
8126,[207 278],278
496,[102 101 283],283
2180,[26 276],276
4887,[193 192 175 141 287],287
12720,[54 55 56 279],279
2008,[],279
4448,[185 294],294
5286,[69 68 67 280],280
9321,[48 49 15 45 279],279
2209,[],292
11020,[81 82 281],281
13002,[54 55 56 279],279
11390,[51 52 67 280],280
6068,[66 280],280
10728,[81 82 281],281
4163,[205 162 164 293],293
1768,[34 33 207 278],278
8847,[206 88 32 207 278],278
11858,[50 61 62 66 280],280
3190,[175 141 287],287
13014,[54 55 56 279],279
6250,[145 160 292],292
10482,[17 90 282],282
3090,[66 280],280
5609,[141 287],287
9641,[92 93 282],282
7233,[176 126 288],288
6661,[37 34 33 207 278],278
3651,[66 280],280
1051,[4 286],286
7658,[56 279],279
9044,[49 15 45 279],279
2150,[294],294
6995,[285],285
4055,[83 82 281],281
11881,[50 61 62 66 280],280
5003,[],280
7196,[],293
8184,[116 74 197 113 112 105 106 284],284
5561,[142 5 287],287
6283,[144 203 204 136 152 290 155 291],291
6316,[],282
9157,[48 49 15 45 279],279
10086,[1 51 52 67 280],280
6684,[37 34 33 207 278],278
9367,[48 49 15 45 279],279
6321,[],282
12958,[54 55 56 279],279
2100,[90 282],282
8243,[185 294],294
4066,[159 160 292],292
7981,[8 9 45 279],279
10196,[1 51 52 67 280],280
6870,[19 285],285
11539,[51 52 67 280],280
13075,[54 55 56 279],279
4360,[63 62 66 280],280
2576,[55 56 279],279
7357,[9 45 279],279
330,[188 189 144 203 204 136 152 290 155 291],291
3313,[45 279],279
12803,[54 55 56 279],279
2727,[279],279
9834,[1 51 52 67 280],280
1623,[152 290],290
4383,[16 66 280],280
9928,[1 51 52 67 280],280
11083,[81 82 281],281
9176,[48 49 15 45 279],279
7393,[9 45 279],279
5190,[40 9 45 279],279
6105,[66 280],280
8018,[8 9 45 279],279
10739,[81 82 281],281
9790,[92 93 282],282
7124,[20 66 280],280
1079,[160 292],292
3886,[67 280],280
3931,[277],277
7048,[285],285
9966,[1 51 52 67 280],280
7309,[9 45 279],279
6733,[176 126 288],288
1754,[34 33 207 278],278
1440,[162 164 293],293
1876,[9 45 279],279
3620,[66 280],280
5881,[147 293],293
828,[139 126 288],288
7520,[101 283],283
11720,[51 52 67 280],280
1156,[],285
13099,[54 55 56 279],279
3216,[175 141 287],287
1503,[292],292
9200,[48 49 15 45 279],279
11812,[51 52 67 280],280
4915,[119 285],285
12924,[54 55 56 279],279
1599,[5 287],287
9616,[92 93 282],282
1186,[],285
7489,[101 283],283
1579,[],281
3040,[126 288],288
11297,[32 207 278],278
6297,[141 287],287
5427,[195 291],291
1823,[9 45 279],279
3628,[66 280],280
882,[32 207 278],278
1161,[],285
413,[164 293],293
9193,[48 49 15 45 279],279
9327,[48 49 15 45 279],279
9552,[88 32 207 278],278
12486,[65 16 66 280],280
6909,[280],280
858,[32 207 278],278
5586,[141 287],287
6479,[119 285],285
4539,[39 40 9 45 279],279
9463,[88 32 207 278],278
11933,[50 61 62 66 280],280
12356,[65 16 66 280],280
12075,[50 61 62 66 280],280
8702,[17 90 282],282
6440,[11 211 19 285],285
4538,[39 40 9 45 279],279
2560,[126 288],288
4107,[54 55 56 279],279
4469,[211 19 285],285
9492,[88 32 207 278],278
2313,[62 66 280],280
11454,[51 52 67 280],280
7459,[211 19 285],285
12228,[50 61 62 66 280],280
3478,[139 126 288],288
9837,[1 51 52 67 280],280
12887,[54 55 56 279],279
11270,[32 207 278],278
5936,[177 176 126 288],288
2193,[],292
11938,[50 61 62 66 280],280
1894,[9 45 279],279
4802,[31 276],276
6430,[45 279],279
2634,[128 134 133 289],289
1688,[82 281],281
11452,[51 52 67 280],280
8723,[206 88 32 207 278],278
8516,[141 287],287
13160,[47 39 40 9 45 279],279
3908,[67 280],280
4903,[193 192 175 141 287],287
3276,[61 62 66 280],280
7993,[8 9 45 279],279
1739,[34 33 207 278],278
2321,[133 289],289
3530,[85 281],281
4151,[205 162 164 293],293
11356,[32 207 278],278
4841,[31 276],276
9588,[88 32 207 278],278
5615,[33 207 278],278
3984,[155 290],290
10604,[17 90 282],282
970,[10 67 280],280
8688,[17 90 282],282
9560,[88 32 207 278],278
8667,[99 94 92 93 282],282
10980,[81 82 281],281
3094,[66 280],280
9499,[88 32 207 278],278
7573,[62 66 280],280
9629,[92 93 282],282
1063,[4 286],286
8608,[280],280
1536,[],281
9106,[49 15 45 279],279
9279,[48 49 15 45 279],279
2040,[],279
6775,[101 283],283
9480,[88 32 207 278],278
501,[134 133 289],289
9501,[88 32 207 278],278
5929,[177 176 126 288],288
3101,[66 280],280
11350,[32 207 278],278
7835,[277],277
9199,[48 49 15 45 279],279
5082,[52 67 280],280
9116,[49 15 45 279],279
7548,[92 93 282],282
12154,[50 61 62 66 280],280
11474,[51 52 67 280],280
4801,[31 276],276
1767,[34 33 207 278],278
1410,[129 288],288
3555,[85 281],281
9615,[92 93 282],282
2133,[90 282],282
9974,[1 51 52 67 280],280
7244,[176 126 288],288
9563,[88 32 207 278],278
5914,[177 176 126 288],288
6918,[280],280
2305,[62 66 280],280
4271,[207 278],278
1049,[197 113 112 105 106 284],284
3800,[168 294],294
7620,[62 66 280],280
6242,[145 160 292],292
5456,[279],279
12445,[65 16 66 280],280
12048,[50 61 62 66 280],280
1882,[9 45 279],279
11732,[51 52 67 280],280
7692,[56 279],279
11851,[50 61 62 66 280],280
4431,[16 66 280],280
1175,[],285
2257,[62 66 280],280
7583,[62 66 280],280
6366,[160 292],292
10239,[1 51 52 67 280],280
3318,[45 279],279
2155,[294],294
12327,[65 16 66 280],280
12208,[50 61 62 66 280],280
6009,[104 105 106 284],284
10243,[1 51 52 67 280],280
712,[65 16 66 280],280
6838,[19 285],285
10884,[81 82 281],281
2735,[279],279
3866,[5 287],287
11798,[51 52 67 280],280
3663,[67 280],280
11708,[51 52 67 280],280
9095,[49 15 45 279],279
6023,[66 280],280
1880,[9 45 279],279
1118,[143 5 287],287
4612,[106 284],284
13033,[54 55 56 279],279
11402,[51 52 67 280],280
2279,[62 66 280],280
8015,[8 9 45 279],279
9633,[92 93 282],282
8997,[49 15 45 279],279
4816,[31 276],276
3790,[],283
6988,[285],285
5647,[33 207 278],278
4953,[177 176 126 288],288
4878,[81 82 281],281
12796,[54 55 56 279],279
5779,[192 175 141 287],287
12246,[50 61 62 66 280],280
3953,[277],277
5064,[52 67 280],280
9637,[92 93 282],282
13195,[47 39 40 9 45 279],279
4925,[119 285],285
12065,[50 61 62 66 280],280
5493,[279],279
10983,[81 82 281],281
6546,[123 286],286
13278,[47 39 40 9 45 279],279
5075,[52 67 280],280
8591,[280],280
5389,[96 101 283],283
12817,[54 55 56 279],279
3342,[45 279],279
8863,[206 88 32 207 278],278
2941,[101 283],283
11898,[50 61 62 66 280],280
12197,[50 61 62 66 280],280
4466,[211 19 285],285
1353,[67 280],280
5391,[96 101 283],283
6073,[66 280],280
8922,[206 88 32 207 278],278
481,[133 289],289
4721,[278],278
12677,[65 16 66 280],280
13178,[47 39 40 9 45 279],279
3119,[],278
8471,[],277
8177,[189 144 203 204 136 152 290 155 291],291
4094,[54 55 56 279],279
12340,[65 16 66 280],280
9601,[92 93 282],282
2868,[15 45 279],279
9263,[48 49 15 45 279],279
4244,[207 278],278
11838,[50 61 62 66 280],280
10957,[81 82 281],281
5076,[52 67 280],280
11925,[50 61 62 66 280],280
9871,[1 51 52 67 280],280
384,[164 293],293
12641,[65 16 66 280],280
5528,[186 218 159 158 208 194 195 291],291
1068,[160 292],292
11143,[81 82 281],281
9906,[1 51 52 67 280],280
1165,[],285
1427,[162 164 293],293
6224,[157 145 160 292],292
6942,[280],280
3431,[88 32 207 278],278
10680,[17 90 282],282
3308,[45 279],279
9192,[48 49 15 45 279],279
7255,[9 45 279],279
4647,[29 277],277
4948,[177 176 126 288],288
13139,[54 55 56 279],279
1766,[34 33 207 278],278
13064,[54 55 56 279],279
1813,[9 45 279],279
12255,[50 61 62 66 280],280
2098,[],279
7531,[198 4 286],286
3624,[66 280],280
11171,[32 207 278],278
8028,[8 9 45 279],279
7754,[140 141 287],287
12146,[50 61 62 66 280],280
980,[112 105 106 284],284
355,[49 15 45 279],279
3407,[45 279],279
3363,[45 279],279
3323,[45 279],279
11583,[51 52 67 280],280
11854,[50 61 62 66 280],280
6677,[37 34 33 207 278],278
859,[32 207 278],278
11791,[51 52 67 280],280
4940,[177 176 126 288],288
9069,[49 15 45 279],279
11116,[81 82 281],281
13053,[54 55 56 279],279
2976,[21 90 282],282
3098,[66 280],280
4489,[211 19 285],285
9625,[92 93 282],282
11680,[51 52 67 280],280
6793,[147 293],293
3758,[204 136 152 290],290
9412,[88 32 207 278],278
1964,[206 88 32 207 278],278
10885,[81 82 281],281
9056,[49 15 45 279],279
11728,[51 52 67 280],280
324,[188 189 144 203 204 136 152 290 155 291],291
4815,[31 276],276
3330,[45 279],279
10303,[17 90 282],282
4199,[207 278],278
11208,[32 207 278],278
3175,[32 207 278],278
8868,[206 88 32 207 278],278
13349,[47 39 40 9 45 279],279
12979,[54 55 56 279],279
1627,[152 290],290
9223,[48 49 15 45 279],279
4970,[92 93 282],282
12772,[54 55 56 279],279
12276,[65 16 66 280],280
426,[146 292],292
11039,[81 82 281],281
10734,[81 82 281],281
8336,[105 106 284],284
7202,[],293
5621,[33 207 278],278
13144,[54 55 56 279],279
7249,[176 126 288],288
3117,[],278
6141,[289],289
9569,[88 32 207 278],278
10388,[17 90 282],282
13176,[47 39 40 9 45 279],279
8401,[93 282],282
3138,[],278
6916,[280],280
2253,[62 66 280],280
12460,[65 16 66 280],280
2077,[],279
2203,[],292
7732,[56 279],279
13110,[54 55 56 279],279
1910,[9 45 279],279
10651,[17 90 282],282
9045,[49 15 45 279],279
9465,[88 32 207 278],278
11283,[32 207 278],278
12685,[65 16 66 280],280
10598,[17 90 282],282
12418,[65 16 66 280],280
12170,[50 61 62 66 280],280
11018,[81 82 281],281
6833,[50 61 62 66 280],280
12505,[65 16 66 280],280
11147,[81 82 281],281
5516,[279],279
3012,[126 288],288
11703,[51 52 67 280],280
12881,[54 55 56 279],279
4590,[106 284],284
1835,[9 45 279],279
10811,[81 82 281],281
10903,[81 82 281],281
12011,[50 61 62 66 280],280
10447,[17 90 282],282
12638,[65 16 66 280],280
8950,[49 15 45 279],279
7712,[56 279],279
2939,[101 283],283
380,[164 293],293
7829,[277],277
7926,[29 278],278
13235,[47 39 40 9 45 279],279
7450,[211 19 285],285
1000,[68 67 280],280
8488,[59 63 62 66 280],280
8264,[281],281
9459,[88 32 207 278],278
5837,[57 56 279],279
1302,[67 280],280
7788,[172 138 143 5 287],287
986,[112 105 106 284],284
8136,[207 278],278
9344,[48 49 15 45 279],279
10942,[81 82 281],281
7415,[213 151 168 294],294
11274,[32 207 278],278
10121,[1 51 52 67 280],280
7472,[],291
5316,[45 279],279
10721,[81 82 281],281
1025,[221 220 219 26 276],276
11279,[32 207 278],278
13280,[47 39 40 9 45 279],279
7410,[94 92 93 282],282
975,[112 105 106 284],284
7084,[100 101 283],283
2199,[],292
3585,[66 280],280
5249,[287],287
310,[165 147 293],293
8024,[8 9 45 279],279
7939,[29 278],278
2473,[],284
10544,[17 90 282],282
9051,[49 15 45 279],279
11037,[81 82 281],281
1546,[],281
8691,[17 90 282],282
5342,[45 279],279
3160,[],278
1753,[34 33 207 278],278
9098,[49 15 45 279],279
6856,[19 285],285
7877,[205 162 164 293],293
6859,[19 285],285
11323,[32 207 278],278
10961,[81 82 281],281
2247,[62 66 280],280
7498,[101 283],283
541,[282],282
11577,[51 52 67 280],280
6450,[11 211 19 285],285
8704,[17 90 282],282
12901,[54 55 56 279],279
10001,[1 51 52 67 280],280
3032,[126 288],288
2065,[],279
8546,[286],286
11211,[32 207 278],278
3071,[66 280],280
3242,[61 62 66 280],280
4714,[278],278
6937,[280],280
12861,[54 55 56 279],279
2699,[251 217 137 135 136 289],289
13187,[47 39 40 9 45 279],279
9669,[92 93 282],282
3707,[90 282],282
4975,[92 93 282],282
11098,[81 82 281],281
8459,[],277
9439,[88 32 207 278],278
5530,[199 139 126 288],288
8023,[8 9 45 279],279
8852,[206 88 32 207 278],278
1791,[34 33 207 278],278
2302,[62 66 280],280
1326,[67 280],280
12752,[54 55 56 279],279
9898,[1 51 52 67 280],280
648,[292],292
9794,[92 93 282],282
9920,[1 51 52 67 280],280
11335,[32 207 278],278
3042,[126 288],288
11534,[51 52 67 280],280
2842,[283],283
3618,[66 280],280
564,[56 279],279
5851,[57 56 279],279
