random-seed,100
12241,[50 61 62 66 280],280
12804,[54 55 56 279],279
9358,[48 49 15 45 279],279
4421,[16 66 280],280
12725,[54 55 56 279],279
985,[112 105 106 284],284
12590,[65 16 66 280],280
3597,[66 280],280
6575,[151 168 294],294
2405,[85 281],281
1694,[198 4 286],286
9426,[88 32 207 278],278
3754,[204 136 152 290],290
590,[56 279],279
4096,[54 55 56 279],279
7160,[6 146 292],292
5430,[195 291],291
4962,[92 93 282],282
7179,[222 221 220 219 26 276],276
3466,[139 126 288],288
1096,[293],293
2299,[62 66 280],280
9301,[48 49 15 45 279],279
6003,[281],281
4873,[81 82 281],281
2022,[],279
12980,[54 55 56 279],279
11790,[51 52 67 280],280
10578,[17 90 282],282
6133,[294],294
861,[32 207 278],278
9889,[1 51 52 67 280],280
904,[22 121 19 285],285
1693,[198 4 286],286
9138,[49 15 45 279],279
8260,[185 294],294
9226,[48 49 15 45 279],279
6212,[105 106 284],284
11658,[51 52 67 280],280
11825,[50 61 62 66 280],280
2470,[],284
11640,[51 52 67 280],280
8968,[49 15 45 279],279
12825,[54 55 56 279],279
6719,[176 126 288],288
4461,[4 286],286
4885,[193 192 175 141 287],287
12682,[65 16 66 280],280
5784,[192 175 141 287],287
12600,[65 16 66 280],280
5641,[33 207 278],278
8160,[207 278],278
12139,[50 61 62 66 280],280
4563,[231 211 19 285],285
1375,[47 39 40 9 45 279],279
6886,[19 285],285
9648,[92 93 282],282
472,[167 168 294],294
7883,[205 162 164 293],293
7904,[26 276],276
1860,[9 45 279],279
13042,[54 55 56 279],279
13266,[47 39 40 9 45 279],279
13237,[47 39 40 9 45 279],279
3566,[48 49 15 45 279],279
10080,[1 51 52 67 280],280
7217,[176 126 288],288
6016,[220 219 26 276],276
11637,[51 52 67 280],280
4679,[175 141 287],287
588,[56 279],279
5548,[199 139 126 288],288
12441,[65 16 66 280],280
1644,[138 143 5 287],287
8595,[280],280
1707,[198 4 286],286
6691,[37 34 33 207 278],278
3636,[66 280],280
10949,[81 82 281],281
8822,[206 88 32 207 278],278
6934,[280],280
7385,[9 45 279],279
3116,[],278
3893,[67 280],280
10454,[17 90 282],282
1587,[5 287],287
2232,[276],276
2104,[90 282],282
9666,[92 93 282],282
349,[49 15 45 279],279
386,[164 293],293
1870,[9 45 279],279
4140,[223 222 221 220 219 26 276],276
8149,[207 278],278
1311,[67 280],280
8535,[286],286
6880,[19 285],285
3302,[45 279],279
3923,[202 133 131 129 288],288
9211,[48 49 15 45 279],279
10847,[81 82 281],281
11744,[51 52 67 280],280
13210,[47 39 40 9 45 279],279
13105,[54 55 56 279],279
12244,[50 61 62 66 280],280
4726,[278],278
6445,[11 211 19 285],285
11337,[32 207 278],278
4458,[4 286],286
6723,[176 126 288],288
12568,[65 16 66 280],280
871,[32 207 278],278
7742,[56 279],279
10587,[17 90 282],282
683,[292],292
5326,[45 279],279
6662,[37 34 33 207 278],278
5268,[288],288
9764,[92 93 282],282
8111,[207 278],278
11393,[51 52 67 280],280
7394,[9 45 279],279
483,[133 289],289
9025,[49 15 45 279],279
7780,[172 138 143 5 287],287
4703,[278],278
3471,[139 126 288],288
10185,[1 51 52 67 280],280
8186,[187 188 189 144 203 204 136 152 290 155 291],291
6252,[145 160 292],292
11241,[32 207 278],278
7567,[62 66 280],280
6290,[144 203 204 136 152 290 155 291],291
5791,[192 175 141 287],287
5370,[45 279],279
8764,[206 88 32 207 278],278
2035,[],279
10164,[1 51 52 67 280],280
9618,[92 93 282],282
432,[146 292],292
11997,[50 61 62 66 280],280
6630,[37 34 33 207 278],278
4189,[207 278],278
9208,[48 49 15 45 279],279
1433,[162 164 293],293
6101,[66 280],280
1407,[129 288],288
1670,[82 281],281
10520,[17 90 282],282
6562,[151 168 294],294
7081,[100 101 283],283
2385,[118 119 285],285
6090,[66 280],280
6559,[151 168 294],294
12370,[65 16 66 280],280
13062,[54 55 56 279],279
3070,[66 280],280
13212,[47 39 40 9 45 279],279
8974,[49 15 45 279],279
1233,[52 67 280],280
5870,[147 293],293
5229,[190 167 168 294],294
9820,[1 51 52 67 280],280
6867,[19 285],285
10533,[17 90 282],282
8983,[49 15 45 279],279
13316,[47 39 40 9 45 279],279
4778,[278],278
7222,[176 126 288],288
2681,[124 177 176 126 288],288
4723,[278],278
7906,[26 276],276
5403,[96 101 283],283
6535,[123 286],286
9020,[49 15 45 279],279
328,[188 189 144 203 204 136 152 290 155 291],291
8101,[207 278],278
6704,[176 126 288],288
4823,[31 276],276
9686,[92 93 282],282
10072,[1 51 52 67 280],280
2920,[120 113 112 105 106 284],284
4126,[271 153 152 290],290
2233,[276],276
6901,[280],280
8460,[],277
6158,[105 106 284],284
1023,[221 220 219 26 276],276
3528,[85 281],281
6974,[86 85 281],281
4990,[136 289],289
9729,[92 93 282],282
9184,[48 49 15 45 279],279
13333,[47 39 40 9 45 279],279
6465,[11 211 19 285],285
3650,[66 280],280
8897,[206 88 32 207 278],278
10725,[81 82 281],281
8142,[207 278],278
988,[112 105 106 284],284
2518,[9 45 279],279
1434,[162 164 293],293
8090,[293],293
5381,[45 279],279
10824,[81 82 281],281
3730,[90 282],282
8286,[281],281
6146,[289],289
6612,[37 34 33 207 278],278
4669,[175 141 287],287
1346,[67 280],280
1945,[206 88 32 207 278],278
1299,[67 280],280
10945,[81 82 281],281
8961,[49 15 45 279],279
3975,[204 136 289],289
4401,[16 66 280],280
3617,[66 280],280
2750,[279],279
9111,[49 15 45 279],279
1783,[34 33 207 278],278
7641,[62 66 280],280
5884,[147 293],293
7464,[],291
10033,[1 51 52 67 280],280
2062,[],279
3120,[],278
13077,[54 55 56 279],279
6741,[101 283],283
